Id,store_id,book_id,Transaction_date
80000,10,236093,2014-10-23
80001,9,236093,2014-10-25
80002,8,236093,2014-11-02
80003,2,236093,2014-11-08
80004,3,236093,2014-11-21
80005,7,236093,2014-11-27
80006,1,236093,2014-12-03
80007,5,236093,2014-12-06
80008,1,236093,2014-12-15
80009,2,236093,2014-12-22
80010,6,236093,2014-12-31
80011,7,236093,2015-01-07
80012,4,236093,2015-01-12
80013,8,236093,2015-01-21
80014,9,236093,2015-01-26
80015,4,236093,2015-02-06
80016,1,236093,2015-02-12
80017,8,236093,2015-02-14
80018,6,236093,2015-02-25
80019,4,236093,2015-03-02
80020,1,236093,2015-03-07
80021,1,236093,2015-03-20
80022,5,236093,2015-03-21
80023,1,236093,2015-03-28
80024,1,236093,2015-04-06
80025,7,236093,2015-04-17
80026,4,236093,2015-04-18
80027,1,236093,2015-04-30
80028,1,236093,2015-05-07
80029,10,236093,2015-05-12
80030,8,236093,2015-05-18
80031,1,236093,2015-05-23
80032,7,236093,2015-06-05
80033,9,236093,2015-06-10
80034,1,236093,2015-06-19
80035,6,236093,2015-06-20
80036,5,236093,2015-06-30
80037,2,236093,2015-07-06
80038,2,236093,2015-07-17
80039,10,236093,2015-07-22
80040,2,236093,2015-07-31
80041,9,236093,2015-08-04
80042,9,236093,2015-08-12
80043,1,236093,2015-08-20
80044,9,236093,2015-08-24
80045,1,236093,2015-08-29
80046,5,236093,2015-09-08
80047,8,236093,2015-09-16
80048,1,236093,2015-09-20
80049,2,236093,2015-10-02
80050,4,236093,2015-10-05
80051,7,236093,2015-10-15
80052,7,236093,2015-10-21
80053,7,236093,2015-10-26
80054,9,236093,2015-11-04
80055,8,236093,2015-11-10
80056,3,236093,2015-11-18
80057,3,236093,2015-11-21
80058,4,236093,2015-12-01
80059,4,236093,2015-12-07
80060,7,236093,2015-12-17
80061,4,236093,2015-12-19
80062,2,236093,2015-12-27
80063,5,236093,2016-01-04
80064,4,236093,2016-01-13
80065,6,236093,2016-01-20
80066,5,236093,2016-01-24
80067,4,236093,2016-02-02
80068,3,236093,2016-02-07
80069,8,236093,2016-02-15
80070,8,236093,2016-02-20
80071,4,236093,2016-03-04
80072,7,236093,2016-03-07
80073,10,236093,2016-03-17
80074,8,236093,2016-03-19
80075,6,236093,2016-03-28
80076,9,236093,2016-04-03
80077,5,236093,2016-04-13
80078,2,236093,2016-04-16
80079,10,236093,2016-04-26
80080,10,236093,2016-04-30
80081,1,236093,2016-05-10
80082,6,236093,2016-05-17
80083,3,236093,2016-05-21
80084,10,236093,2016-05-29
80085,9,236093,2016-06-05
80086,10,236093,2016-06-15
80087,9,236093,2016-06-18
80088,5,121749,2011-01-30
80089,3,121749,2011-02-07
80090,9,121749,2011-02-16
80091,9,121749,2011-02-23
80092,2,121749,2011-03-03
80093,10,121749,2011-03-09
80094,3,121749,2011-03-17
80095,7,121749,2011-03-24
80096,8,121749,2011-03-28
80097,10,121749,2011-04-06
80098,4,121749,2011-04-09
80099,3,121749,2011-04-19
80100,9,121749,2011-04-25
80101,3,121749,2011-05-05
80102,3,121749,2011-05-13
80103,8,121749,2011-05-18
80104,9,121749,2011-05-21
80105,8,121749,2011-05-28
80106,5,121749,2011-06-05
80107,9,121749,2011-06-13
80108,6,121749,2011-06-22
80109,9,121749,2011-06-29
